song_id,artist_name,track_name,popularity,year
4HlFJV71xXKIGcU3kRyttv,Train,"Hey, Soul Sister",82,2010
7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,80,2010
2qYsSHsYkihWx043HVJQRV,Jason Aldean,Dirt Road Anthem,73,2010
03tqyYWC9Um2ZqU0ZN849H,Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),74,2010
15JINEqzVMv3SvJTAXAKED,Eminem,Love The Way You Lie,81,2010
0HPD5WQqrq7wPWR7P7Dw1i,Kesha,TiK ToK,80,2010
2tJulUYLDKOg9XrtVkMgcJ,Bruno Mars,Grenade,75,2010
2gZUPNdnz5Y45eiGxpHGSc,Kanye West,POWER,78,2010
0iYebKFUSfF72fUu2OW6ZT,Nicki Minaj,Super Bass,71,2010
161DnLWsx1i3u1JT05lzqU,Bruno Mars,Talking to the Moon,74,2010
3JTMWdhcJPiegDSe7SvZS3,Kesha,Cannibal,79,2010
0JXXNGljqupsJaZsgSbMZV,Miguel,Sure Thing,73,2010
1DqdF42leyFIzqNDv9CjId,Taio Cruz,Dynamite,71,2010
2IpGdrWvIZipmaxo1YRxw5,Trey Songz,Bottoms Up (feat. Nicki Minaj),72,2010
1GxHeBvQ9935Dd3cSfsfBa,Drake,Best I Ever Had,72,2010
4356Typ82hUiFAynbLYbPn,Usher,DJ Got Us Fallin' In Love (feat. Pitbull),78,2010
7Ie9W94M7OjPoZVV216Xus,Eminem,Not Afraid,78,2010
22PMfvdz35fFKYnJyMn077,Bruno Mars,Marry You,72,2010
1fBl642IhJOE5U319Gy2Go,Neon Trees,Animal,69,2010
6lV2MSQmRIkycDScNtrBXO,B.o.B,Airplanes (feat. Hayley Williams),75,2010
22L7bfCiAkJo5xGSQgmiIO,Kanye West,All Of The Lights,74,2010
1gv4xPanImH17bKZ9rOveR,P!nk,Raise Your Glass,76,2010
2a1o6ZejUi8U3wzzOtCOYw,Don Omar,Danza Kuduro,74,2010
67T6l4q3zVjC5nZZPXByU8,Jason Derulo,Whatcha Say,67,2010
6epn3r7S14KUqlReYr77hA,Justin Bieber,Baby,76,2010
2Cd9iWfcOpGDHLz6tVA3G4,Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),78,2010
3UjtIALeg72qmJiKPWBvM3,Two Door Cinema Club,What You Know,68,2010
4u26EevCNXMhlvE1xFBJwX,The Band Perry,If I Die Young,68,2010
4DvhkX2ic4zWkQeWMwQ2qf,Far East Movement,Like A G6,68,2010
7LcfRTgAVTs5pQGEQgUEzN,Maroon 5,Moves Like Jagger - Studio Recording From The Voice Performance,70,2010
3DK6m7It6Pw857FcQftMds,Kanye West,Runaway,72,2010
11EX5yhxr9Ihl3IN1asrfK,Lady Antebellum,Need You Now,69,2010
7l1qvxWjxcKpB9PCtBuTbU,Bruno Mars,Count on Me - EP Version,72,2010
1ExfPZEiahqhLyajhybFeS,Bruno Mars,The Lazy Song,71,2010
59dLtGBS26x7kc0rHbaPrq,B.o.B,Nothin' on You (feat. Bruno Mars),72,2010
72Fnsr9pkCyXCmY3BS7sbx,Cody Jinks,Hippies and Cowboys,67,2010
6XkuklKiHYVTlVvWlTgQYP,Kid Cudi,Erase Me - Main,69,2010
0q6LuUqGLUiCPP1cbdwFs3,Gorillaz,On Melancholy Hill,76,2010
03xWMkKEbeO4SnylA53ipj,Mandy Moore,"When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",71,2010
2V4bv1fNWfTcyRJKmej6Sj,Mike Posner,Cooler Than Me - Single Mix,71,2010
5zGqTc1WQUe8XqqdnrpKTV,Rodney Atkins,Farmer's Daughter,67,2010
6PmjWl0phNxc0R5OwkDdiZ,Jeremih,Love Don't Change,69,2010
6klpXs2uAjagnZMFkt4qkl,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",71,2010
4ycLiPVzE5KamivXrAzGFG,CeeLo Green,Fuck You,67,2010
3LUWWox8YYykohBbHUrrxd,Kesha,We R Who We R,71,2010
1kMuU3TNQvHbqvXCWBodmP,Lil Wayne,Right Above It,67,2010
2MWOqewf5j0qf2b6S5J6cS,Train,Marry Me,72,2010
3ZdJffjzJWFimSQyxgGIxN,Nelly,Just A Dream - Main,73,2010
0grFc6klR3hxoHLcgCYsF4,The Black Keys,Howlin' for You,66,2010
2p07VcUwRZ5sru3mJ0JogS,Josh Turner,Why Don't We Just Dance,66,2010
6BaxqcoEM9r3LXisTyJjST,Jason Derulo,Ridin' Solo,65,2010
6vc2Jq2vaGu8z326kSrw92,Kesha,Your Love Is My Drug,69,2010
4UEo1b0wWrtHMC8bVqPiH8,Avenged Sevenfold,Nightmare,71,2010
0x3TibRgnSqzkcwrqBd4iX,Jeremih,Down On Me,70,2010
1ZHYJ2Wwgxes4m8Ba88PeK,Kanye West,Monster,70,2010
1bM50INir8voAkVoKuvEUI,Usher,OMG (feat. will.i.am),71,2010
0u4N6w5lBw5xMrzJitRWUo,Prince Royce,Corazon Sin Cara,70,2010
45sDIKapDyxPl307QpEAwl,Far East Movement,Rocketeer,65,2010
2M9ULmQwTaTGmAdXaXpfz5,Travie McCoy,Billionaire (feat. Bruno Mars),73,2010
2u02eLj96Atd6TBxkH9YvN,Rihanna,S&M,68,2010
0I1eFRytp4XRhLCjT6tZm7,Roar,I Can't Handle Change,68,2010
5BoIP8Eha5hwmRVURkC2Us,Jason Derulo,In My Head,64,2010
0Hrd6CSafHHqKptyFppmqH,Two Door Cinema Club,Undercover Martyn,65,2010
