song_id,artist_name,track_name,popularity,year
4TnjEaWOeW0eKTKIEvJyCa,Trevor Daniel,Falling,96,2018
285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams,88,2018
4VXIryQMWpIdGgYR4TrjT1,Juice WRLD,All Girls Are The Same,84,2018
0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,lovely (with Khalid),89,2018
3KkXRkHbMCARz0aVfEt68P,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,86,2018
0rKtyWc8bvkriBthvHKY8d,Joji,SLOW DANCING IN THE DARK,84,2018
78QR3Wp35dqAhFEc2qAGjE,Lil Baby,Drip Too Hard (Lil Baby & Gunna),83,2018
7eBqSVxrzQZtK2mmgRG6lC,YNW Melly,Murder On My Mind,83,2018
2xLMifQCjDGFmkHkpNLD9h,Travis Scott,SICKO MODE,85,2018
2IRZnDFmlqMuOrYOLnZZyc,Meek Mill,Going Bad (feat. Drake),83,2018
0e7ipj03S05BNilyu5bRzt,Post Malone,rockstar (feat. 21 Savage),87,2018
3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,SAD!,85,2018
1wJRveJZLSb1rjhnUHQiv6,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),83,2018
1Knctxx9vGZxpZfF66BIEa,Juice WRLD,Legends,83,2018
6foY66mWZN0pSRjZ408c00,Morgan Wallen,Whiskey Glasses,79,2018
2rxQMGVafnNaRaXlRMWPde,Luke Combs,Beautiful Crazy,80,2018
7dt6x5M1jzdTEt8oCbisTK,Post Malone,Better Now,85,2018
5wujBwqG7INdStqGd4tRMX,Juice WRLD,Armed And Dangerous,81,2018
6lruHh1jF7ezgbLv72xYmf,Arizona Zervas,FML,83,2018
3oDkdAySo1VQQG0ptV7uwa,Juice WRLD,Lean Wit Me,81,2018
5MwynWK9s4hlyKHqhkNn4A,Morgan Wallen,Chasin' You,78,2018
2dpaYNEQHiRxtZbfNsse99,Marshmello,Happier,87,2018
0JP9xo3adEtGSdUEISiszL,XXXTENTACION,Moonlight,84,2018
6vN77lE9LK6HP2DewaN6HZ,Lil Baby,Yes Indeed,80,2018
0oufSLnKQDoBFX5mgkDCgR,Brent Faiyaz,Trust,81,2018
7zLYKWcXnYeHHWidalz7rj,Lil Mosey,Noticed,81,2018
1ThmUihH9dF8EV08ku5AXN,Ski Mask The Slump God,Faucet Failure,79,2018
7AFASza1mXqntmGtbxXprO,XXXTENTACION,changes,83,2018
2ZRo7axmMPeSVUvDbGkJah,XXXTENTACION,Hope,82,2018
4ZLzoOkj0MPWrTLvooIuaa,Kina,Get You The Moon (feat. Snøw),86,2018
6DCZcSspjsKoFjzjrWoCdn,Drake,God's Plan,84,2018
2t8yVaLvJ0RenpXUIAC52d,21 Savage,a lot,80,2018
75lcPkAkUsKWHGBlGM476R,Trippie Redd,1400 / 999 Freestyle,79,2018
1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,High Hopes,84,2018
3GJ4hzg4lrGwU51Y3VARbF,Dan + Shay,Speechless,78,2018
5p7ujcrUXASCNwRaWNHR1C,Halsey,Without Me,84,2018
09mEdoA6zrmBPgTEN5qXmN,The Weeknd,Call Out My Name,83,2018
6zeeWid2sgw4lap2jV61PZ,Khalid,Better,78,2018
3swc6WTsr7rl9DqQKQA55C,Post Malone,Psycho (feat. Ty Dolla $ign),81,2018
3Ol2xnObFdKV9pmRD2t9x8,A Boogie Wit da Hoodie,Look Back at It,79,2018
4SWWe2OYC4mqf40Gc2RSdl,Roddy Ricch,Down Below,78,2018
0TlLq3lA83rQOYtrqBqSct,Drake,Nonstop,80,2018
4jvjzW7Hm0yK4LvvE0Paz9,Lil Peep,Falling Down - Bonus Track,82,2018
0FZ4Dmg8jJJAPJnvBIzD9z,Kodak Black,ZEZE (feat. Travis Scott & Offset),81,2018
5274I4mUMnYczyeXkGDWZN,Future,Fine China,78,2018
58q2HKrzhC3ozto2nDdN4z,Cardi B,I Like It,82,2018
0d2iYfpKoM0QCKvcLCkBao,benny blanco,Eastside (with Halsey & Khalid),82,2018
1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,3 Nights,83,2018
698eQRku24PIYPQPHItKlA,Luke Combs,She Got the Best of Me,76,2018
1fCeXjoRExPP2qwSBh2aST,Juice WRLD,Black & White,78,2018
1xzBco0xcoJEDXktl7Jxrr,Sheck Wes,Mo Bamba,80,2018
32lItqlMi4LBhb4k0BaSaC,Post Malone,Candy Paint,78,2018
