song_id,artist_name,track_name,popularity,year
0nJW01T7XtvILxQgC5J7Wh,Bruno Mars,When I Was Your Man,83,2012
7DfFc7a6Rwfi3YQMRbDMau,Frank Ocean,Thinkin Bout You,74,2012
6FE2iI43OZnszFLuLtvvmg,MKTO,Classic,78,2012
3GZD6HmiNUhxXYf8Gch723,Frank Ocean,Lost,74,2012
3LlAyCYU26dvFZBDUIMb7a,Imagine Dragons,Demons,74,2012
3bidbhpOYeV4knp8AIu8Xn,Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,83,2012
7a86XRg84qjasly9f6bPSD,fun.,We Are Young (feat. Janelle Monáe),74,2012
4G8gkOterJn0Ywt6uhqbhp,Imagine Dragons,Radioactive,73,2012
3n69hLUdIsSa1WlRmjMZlW,alt-J,Breezeblocks,73,2012
0i5el041vd6nxrGEU8QRxy,Florida Georgia Line,Cruise,72,2012
3w3y8KPTfNeOKPiqUTakBh,Bruno Mars,Locked out of Heaven,81,2012
2iUmqdfGZcHIhS3b9E9EWq,Neon Trees,Everybody Talks,76,2012
6E9V9TRlVOLjenGjHemzEH,Lee Brice,Hard To Love,72,2012
0W4Kpfp1w2xkY3PrV714B7,The Lumineers,Ho Hey,71,2012
4IowQDUOzUvNtp72HMDcKO,Chief Keef,Love Sosa,72,2012
1LmN9SSHISbtp9LoaR5ZVJ,Maroon 5,Payphone,73,2012
1mKXFLRA179hdOWQBwUk9e,P!nk,Just Give Me a Reason (feat. Nate Ruess),81,2012
1X1DWw2pcNZ8zSub3uhlNz,The Script,Hall of Fame,70,2012
25SJaCCPiosugnlY53VhRG,Mac DeMarco,Freaking Out the Neighborhood,75,2012
3cHyrEgdyYRjgJKSOiOtcS,Pitbull,Timber (feat. Ke$ha),78,2012
42zd6DYQ4o4SECmTITrM1U,Meek Mill,Dreams and Nightmares,72,2012
6t6oULCRS6hnI7rm0h5gwl,fun.,Some Nights,72,2012
72C7aUQECOhNtnD0AC36ua,One Direction,They Don't Know About Us,80,2012
4cluDES4hQEUhmXj6TXkSo,One Direction,What Makes You Beautiful,80,2012
0LtOwyZoSNZKJWHqjzADpW,Tame Impala,Feels Like We Only Go Backwards,76,2012
7EQGXaVSyEDsCWKmUcfpLk,Kesha,Die Young,77,2012
2OFrAsP5Vrcb0DtsPNsm54,Mac DeMarco,My Kind of Woman,74,2012
53QF56cjZA9RTuuMZDrSA6,Jason Mraz,I Won't Give Up,73,2012
2HbKqm4o0w5wEeEFXm2sD4,Kendrick Lamar,Money Trees,70,2012
2P3SLxeQHPqh8qKB6gtJY2,Kendrick Lamar,Poetic Justice,69,2012
