,song_id,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
34,43zdsphuZLzwA9k4DJhU0I,Billie Eilish,when the party's over,90,0.978,0.367,196077,0.111,3.97e-05,4,0.0897,-14.084,1,0.0972,82.642,4,0.198
35,2JvzF1RMd7lE3KmFlsyZD8,J. Cole,MIDDLE CHILD,85,0.149,0.837,213594,0.364,0.0,8,0.271,-11.713,1,0.276,123.984,4,0.463
36,6klLvorLoo1sxvZcjJIY8I,YoungBoy Never Broke Again,Make No Sense,83,0.0208,0.876,148630,0.733,0.0,10,0.0999,-4.478,0,0.333,154.904,4,0.962
37,4sWuPniHClkInYAnzXAYUF,NLE Choppa,Camelot,84,0.0849,0.787,148759,0.713,0.0,7,0.717,-5.252,1,0.401,175.041,4,0.762
38,7xQAfvXzm3AkraOtGPWIZg,Post Malone,Wow.,88,0.136,0.829,149547,0.539,1.78e-06,11,0.103,-7.359,0,0.208,99.96,4,0.388
39,2W4yABdLc4Jnds67Poi5Nl,Ant Saunders,Yellow Hearts,88,0.177,0.865,223258,0.438,0.0,7,0.0743,-8.943,1,0.0719,129.038,4,0.695
40,0t3ZvGKlmYmVsDzBJAXK8C,Post Malone,Goodbyes (feat. Young Thug),89,0.456,0.548,174853,0.653,0.0,5,0.103,-3.875,1,0.081,150.068,4,0.163
41,56AMYGJzxBO6p8v0wEe9de,Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],85,0.188,0.845,279907,0.631,0.0,7,0.0806,-8.206,0,0.216,111.983,4,0.545
42,5a6pdCHlWS2ekOOQ70QnAr,Noah Cyrus,July,88,0.868,0.708,156107,0.186,0.0,9,0.0779,-8.953,0,0.0422,72.541,4,0.321
43,0Q2n5yzl2XRqYbV77tZNYp,TOKYO’S REVENGE,GOODMORNINGTOKYO!,84,0.0408,0.907,150115,0.539,0.0,4,0.253,-7.782,1,0.36,124.918,4,0.664
44,5FkoSXiJPKTNyYgALRJFhD,Baby Keem,ORANGE SODA,83,0.177,0.83,129882,0.564,0.0,1,0.128,-7.822,1,0.235,85.042,4,0.107
45,1e9oZCCiX42nJl0AcqriVo,Harry Styles,Watermelon Sugar,89,0.122,0.548,174000,0.816,0.0,0,0.335,-4.209,1,0.0465,95.39,4,0.557
46,1ZMiCix7XSAbfAJlEZWMCp,Harry Styles,Falling,87,0.839,0.567,240133,0.267,1.46e-06,4,0.089,-6.502,1,0.0299,110.011,4,0.0592
