,song_id,artist_name,track_name,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,4DpNNXFMMxQEKl7r0ykkWA,Melanie Martinez,Play Date,89,2015,0.68,0.729,5,-5.077,1,0.0475,0.612,0.0,0.224,0.446,123.97,179867,4
1,6K4t31amVTZDgR3sKmwUJJ,Tame Impala,The Less I Know The Better,85,2015,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,216320,4
2,0y60itmpH0aPKsFiGxmtnh,WILLOW,Wait a Minute!,82,2015,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,196520,4
3,3fqwjXwUGN6vbzIwvyFMhx,Chris Stapleton,Tennessee Whiskey,78,2015,0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,293293,4
4,5kNe7PE09d6Kvw5pAsx23n,Thomas Rhett,Die A Happy Man,76,2015,0.595,0.389,2,-9.245,1,0.0349,0.418,1.39e-06,0.116,0.4,166.052,227427,4
5,3pXF1nA74528Edde4of9CC,Bryson Tiller,Don't,79,2015,0.765,0.356,11,-5.556,0,0.196,0.222,0.0,0.0963,0.19,97.001,198293,4
6,7fBv7CLKzipRk6EC6TWHOB,The Weeknd,The Hills,83,2015,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,242253,4
7,43PuMrRfbyyuz4QpZ3oAwN,Bryson Tiller,Exchange,78,2015,0.53,0.433,6,-10.598,1,0.185,0.108,0.0,0.135,0.274,160.14,194613,4
8,2GiJYvgVaD2HtM8GqD9EgQ,BØRNS,Electric Love,77,2015,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,218107,4
9,0QZ5yyl6B6utIWkxeBDxQN,Lord Huron,The Night We Met,75,2015,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,208212,3
10,6y6jbcPG4Yn3Du4moXaenr,blackbear,Idfc,80,2015,0.63,0.5,1,-8.755,0,0.0611,0.611,4.04e-05,0.114,0.315,144.871,245172,4
11,1Ser4X0TKttOvo8bgdytTP,Rae Sremmurd,Come Get Her,78,2015,0.689,0.564,2,-6.226,1,0.136,0.187,0.0,0.0721,0.123,185.023,212947,4
12,3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,Stressed Out,83,2015,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,202333,4
13,0PXp9QxBfSKGGpWUNaws2X,Roy Woods,Drama (feat. Drake),77,2015,0.709,0.362,11,-9.814,1,0.055,0.157,0.0,0.109,0.113,122.043,251860,4
14,67iF3DdebmElASIGoebYt1,White Noise Meditation,Brown Noise - Loopable with No Fade,75,2015,0.0,2.01e-05,5,-15.776,1,0.0,0.0,0.0,0.0,0.0,0.0,73887,0
15,1wHZx0LgzFHyeIZkUydNXq,Travis Scott,Antidote,79,2015,0.713,0.526,1,-5.046,1,0.032,0.00767,0.000148,0.124,0.131,131.05,262693,4
16,0PJIbOdMs3bd5AT8liULMQ,Jeremih,oui,75,2015,0.418,0.724,5,-3.724,1,0.0964,0.213,0.0,0.112,0.604,78.521,238320,5
17,0prNGof3XqfTvNDxHonvdK,Alessia Cara,Scars To Your Beautiful,73,2015,0.573,0.739,0,-5.74,1,0.129,0.0285,0.0,0.111,0.451,97.085,230227,4
18,6GnhWMhgJb7uyiiPEiEkDA,Mac Miller,Weekend (feat. Miguel),75,2015,0.843,0.435,8,-8.442,1,0.178,0.47,0.0,0.147,0.19,120.058,208080,4
