song_id,artist_name,track_name,popularity,year
7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,Jocelyn Flores,87,2017
7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,XO Tour Llif3,84,2017
7AQim7LbvFVZJE3O8TYgf2,XXXTENTACION,Fuck Love (feat. Trippie Redd),84,2017
65rkHetZXO6DQmBh3C2YtW,Granular,White Noise - 500 hz,82,2017
6H4B9gJD6eQlNoEh8q85pP,Granular,White Noise - 145 hz,81,2017
1mMLMZYXkMueg65jRRWG1l,Luke Combs,When It Rains It Pours,79,2017
6xHI9KjUjYT0FPtGO8Mxa1,Luke Combs,Hurricane,78,2017
2bRKxuH1o7pTmb1y4GfdEc,Erik Eriksson,Clean White Noise - Loopable with no fade,86,2017
3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,Everybody Dies In Their Nightmares,83,2017
0uxSUdBrJy9Un0EYoBowng,Lil Uzi Vert,20 Min,79,2017
1HXy5I3HTWq8OvxCn0z7G7,Kane Brown,Heaven,78,2017
7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,HUMBLE.,83,2017
5Z3GHaZ6ec9bsiI5BenrbY,Khalid,Young Dumb & Broke,82,2017
6Nle9hKrkL1wQpwNfEkxjh,Frank Ocean,Chanel,81,2017
7sO5G9EABYOXQKNPNiE9NR,Offset,Ric Flair Drip (& Metro Boomin),81,2017
152lZdxL1OR0ZMW6KquMif,Khalid,Location,81,2017
7mldq42yDuxiUNn08nvzHO,Sam Hunt,Body Like A Back Road,78,2017
52okn5MNA47tk87PeZJLEL,NF,Let You Down,82,2017
6PGoSes0D9eUDeeAafB2As,Kendrick Lamar,LOVE. FEAT. ZACARI.,79,2017
2eAZfqOm4EnOF9VvN50Tyc,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),78,2017
7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator",See You Again (feat. Kali Uchis),79,2017
0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer,87,2017
7hDVYcQq6MxkdJGweuCtl9,Billie Eilish,ocean eyes,84,2017
41zXlQxzTi6cGAjpOXyLYH,Billie Eilish,idontwannabeyouanymore,83,2017
0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,86,2017
7iDa6hUg2VgEL1o1HjmfBn,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),80,2017
47Bg6IrMed1GPbxRgwH2aC,Rex Orange County,Best Friend,80,2017
5bgwqaRSS3M8WHWruHgSL5,Khalid,8TEEN,79,2017
56eGOeSsqdg3FLxdo83TwV,Lee Brice,Rumor,76,2017
1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,Thunder,84,2017
5AnSllIrgGsCZzZJkVnApx,Chase Rice,Eyes On You,76,2017
1f5cbQtDrykjarZVrShaDI,A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),77,2017
2mlGPkAx4kwF8Df0GlScsC,Jack Stauber,Buttercup,82,2017
4EpZ4eYuZOwPSSwyqpdHnJ,Rex Orange County,Sunflower,79,2017
7floNISpH8VF4z4459Qo18,XXXTENTACION,Look At Me!,81,2017
4gB7HrYHbJVJ5RFOjxmoq4,Luke Combs,One Number Away,75,2017
5EYi2rH4LYs6M21ZLOyQTx,Rex Orange County,Loving Is Easy,79,2017
3Q3myFA7q4Op95DOpHplaY,blackbear,do re mi,78,2017
5mCPDVBb16L4XQwDdbRUpz,Drake,Passionfruit,80,2017
