song_id,artist_name,track_name,popularity,year
6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,92,2016
75ZvA4QfFiZvzhj2xkaWAh,Post Malone,I Fall Apart,84,2016
3a1lNhkSLSkpJE4MSHpDu9,Post Malone,Congratulations,83,2016
0wXuerDYiBnERgIpbb3JBR,Childish Gambino,Redbone,82,2016
5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,85,2016
7zVCrzzEJU7u24sbJPXA5W,Kane Brown,What Ifs (feat. Lauren Alaina),77,2016
7MXVkk9YMctZqd1Srtv4MB,The Weeknd,Starboy,84,2016
7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,Closer,84,2016
7eqoqGkKwgOaWNNHx90uEZ,Frank Ocean,Nights,78,2016
6eT7xZZlB2mwyzJ2sUKG6w,Post Malone,White Iverson,79,2016
0B8QzDH7YWih85V5SEMnyJ,Lil Uzi Vert,Money Longer,76,2016
5yuShbu70mtHXY0yLzCQLQ,Post Malone,Go Flex,79,2016
0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,That's What I Like,81,2016
2ZWlPOoWh0626oTaHrnl2a,Frank Ocean,Ivy,77,2016
3d8y0t70g7hw2FOWl9Z4Fm,The Lumineers,Ophelia,72,2016
26OhjtaTamFocE08t83ml6,Russ,"Psycho, Pt. 2",78,2016
5uDASfU19gDxSjW8cnCaBp,Rob $tone,Chill Bill (feat. J. Davi$ & Spooks),77,2016
0w3Q14i073jLoew1hgJkwD,Jon Pardi,Heartache On The Dance Floor,73,2016
7vRriwrloYVaoAe3a9wJHe,gnash,"i hate u, i love u (feat. olivia o'brien)",81,2016
1WkMMavIMc4JZ8cfMmxHkI,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",75,2016
0bPnT6i9H1p8Vd85GS6Z7I,Jon Pardi,Night Shift,73,2016
35r28RDot7nPE7y9K9H7l0,Post Malone,Feeling Whitney,76,2016
4pAl7FkDMNBsjykPXo91B3,Rihanna,Needed Me,78,2016
6i0V12jOa3mr6uu4WYhUBr,Twenty One Pilots,Heathens,81,2016
4ly1QBXEwYoDmje9rmEgC4,Jon Pardi,Head Over Boots,73,2016
5hc71nKsUgtwQ3z52KEKQk,The 1975,Somebody Else,74,2016
3xKsf9qdS1CyvXSMEid6g8,Frank Ocean,Pink + White,77,2016
0SuLAslEMFZAXf0SwY7syi,Jon Bellion,All Time Low,72,2016
6mb6lVLNrcUgLnEN8QnDJd,Auli'i Cravalho,How Far I'll Go,75,2016
2FTeQQ5Rg9tBpgpTF5mnhE,A Boogie Wit da Hoodie,Still Think About You,73,2016
7MiZjKawmXTsTNePyTfPyL,Hippie Sabotage,Devil Eyes,82,2016
2EEeOnHehOozLq4aS0n6SL,KYLE,iSpy (feat. Lil Yachty),76,2016
4uhvMW7ly7tJil31YYscAN,Lil Uzi Vert,Erase Your Social,73,2016
1zi7xx7UVEFkmKfv06H8x0,Drake,One Dance,81,2016
