,song_id,artist_name,track_name,popularity,year
70,0p1BcEcYVO3uk4KDf3gzkY,Hunter Hayes,Wanted,69,2019
71,3hsmbFKT5Cujb5GQjqEU39,Chris Brown,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),72,2019
72,4QNpBfC0zvjKqPJcyqBy9W,Pitbull,Give Me Everything,78,2019
73,1z6WtY7X4HQJvzxC4UgkSf,Beyoncé,Love On Top,75,2019
74,3CKCZ9pfwAfoMZlMncA1Nc,Adele,Set Fire to the Rain,74,2019
75,1UqhkbzB1kuFwt2iy4h29Q,Young the Giant,Cough Syrup,69,2019
76,4osgfFTICMkcGbbigdsa53,Frank Ocean,Novacane,70,2019
77,4NTWZqvfQTlOMitlVn6tew,Lupe Fiasco,The Show Goes On,69,2019
78,20svOpmCQao5GUBgSu8zDe,The Head and the Heart,Rivers and Roads,67,2019
79,6qn9YLKt13AGvpq9jfO8py,Rihanna,We Found Love,74,2019
80,1oHNvJVbFkexQc0BpQp7Y4,Nicki Minaj,Starships,68,2019
81,4RL77hMWUq35NYnPLXBpih,Birdy,Skinny Love,74,2019
82,3ts6xK5GzfMAAriT9AIBmP,Jake Owen,Barefoot Blue Jean Night,68,2019
83,3TcL0dyCMyr0kyTTc4NLgI,Selena Gomez & The Scene,Who Says,73,2019
84,0HZhYMZOcUzZKSFwPOti6m,Christina Perri,Jar of Hearts,73,2019
85,4aX4Oycsk1fhHIee1zqsDe,Lil Wayne,How To Love,66,2019
86,6D60klaHqbCl9ySc8VcRss,Kelly Clarkson,Stronger (What Doesn't Kill You),66,2019
87,1cktZnxiONH0hR6Q3DKy8h,Eric Church,Drink In My Hand,67,2019
88,4eSGSqP2TZvvX0kadZZttM,Drake,Doing It Wrong,68,2019
89,0RUGuh2uSNFJpGMSsD1F5C,Bruno Mars,It Will Rain,66,2019
90,0m1KYWlT6LhFRBDVq9UNx4,Drake,HYFR (Hell Ya Fucking Right),68,2019
91,3MAgQuClHcAV8E9CbeBS6f,Wale,Lotus Flower Bomb (feat. Miguel),66,2019
92,124NFj84ppZ5pAxTuVQYCQ,Drake,Take Care,71,2019
93,2Fw5S2gaOSZzdN5dFoC2dj,Kendrick Lamar,A.D.H.D,70,2019
94,1nVLAEzhBXMJLR5zAl90Nl,Eli Young Band,Crazy Girl,66,2019
95,5A6OHHy73AR5tLxgTc98zz,Wiz Khalifa,Black and Yellow,74,2019
96,4fbvXwMTXPWaFyaMWUm9CR,Bon Iver,Holocene,69,2019
97,1uXbwHHfgsXcUKfSZw5ZJ0,Beyoncé,Run the World (Girls),74,2019
98,2z4U9d5OAA4YLNXoCgioxo,Avril Lavigne,What the Hell,73,2019
99,1VdZ0vKfR5jneCmWIUAMxK,Ed Sheeran,The A Team,75,2019
100,7DfFc7a6Rwfi3YQMRbDMau,Frank Ocean,Thinkin Bout You,74,2019
101,6FE2iI43OZnszFLuLtvvmg,MKTO,Classic,76,2019
102,0nJW01T7XtvILxQgC5J7Wh,Bruno Mars,When I Was Your Man,81,2019
103,3bidbhpOYeV4knp8AIu8Xn,Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,82,2019
104,4G8gkOterJn0Ywt6uhqbhp,Imagine Dragons,Radioactive,72,2019
105,3n69hLUdIsSa1WlRmjMZlW,alt-J,Breezeblocks,72,2019
106,3LlAyCYU26dvFZBDUIMb7a,Imagine Dragons,Demons,72,2019
107,7a86XRg84qjasly9f6bPSD,fun.,We Are Young (feat. Janelle Monáe),72,2019
108,42zd6DYQ4o4SECmTITrM1U,Meek Mill,Dreams and Nightmares,72,2019
109,4IowQDUOzUvNtp72HMDcKO,Chief Keef,Love Sosa,71,2019
110,6E9V9TRlVOLjenGjHemzEH,Lee Brice,Hard To Love,71,2019
111,1X1DWw2pcNZ8zSub3uhlNz,The Script,Hall of Fame,69,2019
112,0W4Kpfp1w2xkY3PrV714B7,The Lumineers,Ho Hey,69,2019
113,1LmN9SSHISbtp9LoaR5ZVJ,Maroon 5,Payphone,72,2019
