song_id,artist_name,track_name,popularity,year
39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,THE SCOTTS,97,2020
7ytR5pFWmSjzHJIeQkgog4,DaBaby,ROCKSTAR (feat. Roddy Ricch),96,2020
0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,100,2020
127QTOFJsJQp5LbJbu3A1y,Drake,Toosie Slide,97,2020
6wJYhPfqk3KGhHRG76WzOh,Lil Mosey,Blueberry Faygo,93,2020
1jaTQ3nqY3oAAYyCTbIvnM,Jack Harlow,WHATS POPPIN,92,2020
0OyQns5ayNK2OVaES0Vb8t,Juice WRLD,Righteous,91,2020
7eJMfftS33KTjuF7lTsMCx,Powfu,death bed (coffee for your head) (feat. beabadoobee),98,2020
5yY9lUy8nbvjM1Uyo1Uqoc,Future,Life Is Good (feat. Drake),92,2020
4cSSL3YafYjM3yjgFO1vJg,NLE Choppa,Walk Em Down (feat. Roddy Ricch),89,2020
5v4GgrXPMghOnBBLmveLac,Megan Thee Stallion,Savage Remix (feat. Beyoncé),90,2020
55CHeLEfn5iJ0IIkgaa4si,Megan Thee Stallion,Savage,92,2020
527k23H0A4Q0UJN3vGs0Da,Don Toliver,After Party,88,2020
56uXDJRCuoS7abX3SkzHKQ,Lil Uzi Vert,Myron,86,2020
3kW4z2pIj5VY5fLjBrMRL5,Lil Uzi Vert,P2,87,2020
7FIWs0pqAYbP91WWM0vlTQ,Eminem,Godzilla (feat. Juice WRLD),91,2020
0lSZh5W0wDeurkGzLYY6hf,NAV,Turks (feat. Travis Scott),86,2020
4HBZA5flZLE435QTztThqH,Ariana Grande,Stuck with U (with Justin Bieber),92,2020
3jT2LKH0RSbQ8jIUNFzXm5,G Herbo,PTSD,85,2020
6Kj17Afjo1OKJYpf5VzCeo,Drake,Pain 1993 (with Playboi Carti),88,2020
4S2uhQE8L9V6p7rj7SiauJ,YNW Melly,Suicidal (Remix) [feat. Juice WRLD],86,2020
78qd8dvwea0Gosb6Fe6j3k,Doja Cat,Boss Bitch,93,2020
7szuecWAPwGoV1e5vGu8tl,The Weeknd,In Your Eyes,92,2020
364dI1bYnvamSnBJ8JcNzN,Justin Bieber,Intentions,91,2020
4NhDYoQTYCdWHTvlbGVgwo,6ix9ine,GOOBA,92,2020
5RqR4ZCCKJDcBLIn4sih9l,StaySolidRocky,Party Girl,87,2020
3Z8FwOEN59mRMxDCtb8N0A,Marshmello,Be Kind (with Halsey),90,2020
11VApNQCWLJdzxWrlmwzUa,Doja Cat,Say So (feat. Nicki Minaj),88,2020
0SqqAgdovOE24BzxIClpjw,Bad Bunny,Yo Perreo Sola,93,2020
4wVOKKEHUJxHCFFNUWDn0B,Drake,Chicago Freestyle (feat. Giveon),86,2020
74fV8TuLZKVzSIOOGu8wwI,Polo G,Go Stupid,84,2020
7wsmIIm0xWmtP7TmACXkJn,Lil Yachty,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),85,2020
5UusfWUMMLEXLMc1ViNZoe,Playboi Carti,@ MEH,84,2020
4xqIYGwwZTEem9U8A42SPF,Tory Lanez,Broke In A Minute,83,2020
4PV0uE5pZSh44E3NqNNDEH,Madison Beer,Selfish,87,2020
7lidXGPXPYLNThITAOTlkK,Halsey,You should be sad,88,2020
2DEZmgHKAvm41k4J3R2E9Y,Bad Bunny,Safaera,93,2020
1gVCEnryJhkdQcuC0Kbvor,DaBaby,FIND MY WAY,84,2020
22LAwLoDA5b4AaGSkg6bKW,Lil Mosey,Blueberry Faygo,89,2020
6xZ4Q2k2ompmDppyeESIY8,Twenty One Pilots,Level of Concern,87,2020
1raaNykBg1bDnWENUiglUA,Dua Lipa,Break My Heart,89,2020
733c1CWmIGymoQXdp7Us88,A Boogie Wit da Hoodie,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",82,2020
7AzlLxHn24DxjgQX73F9fU,Don Toliver,No Idea,86,2020
0TrPqhAMoaKUFLR7iYDokf,Khalid,Know Your Worth,88,2020
2alc8VZAzDgdAsL2QMk3hu,DripReport,Skechers,90,2020
4umIPjkehX1r7uhmGvXiSV,Justin Bieber,Intentions (feat. Quavo),89,2020
1fipvP2zmef6vN2IwXfJhY,Sam Smith,I’m Ready (with Demi Lovato),88,2020
6bnF93Rx87YqUBLSgjiMU8,The Weeknd,Heartless,85,2020
41wtwzCZkXwpnakmwJ239F,Bad Bunny,Si Veo a Tu Mamá,90,2020
7KSSdFCBHCfq4KPzz78ghk,Lil Baby,Heatin Up (feat. Gunna),81,2020
4HDCLYli2SUdkq9OjmvhSD,PARTYNEXTDOOR,BELIEVE IT,88,2020
6CUP2khYzdphXebxVTfPE3,Lil Uzi Vert,Lo Mein,81,2020
05aZ9sAU1YXndHv0FMi9iW,Drake,Demons (feat. Fivio Foreign & Sosa Geek),82,2020
6NfrH0ANGmgBXyxgV2PeXt,Bad Bunny,La Difícil,90,2020
2p8IUWQDrpjuFltbdgLOag,The Weeknd,After Hours,86,2020
5gNOINI5dXZVom2b36LMOd,DaBaby,PICK UP (feat. Quavo),81,2020
5raTDhlbxFDnpn89bxArdH,Lil Uzi Vert,That Way,81,2020
63wx9vdskaXbYxyDx4oJCZ,Jhené Aiko,B.S. (feat. H.E.R.),81,2020
5fHrHoJKfCgBd35zwIBmUK,Future,D4L,82,2020
7hav1MHURQf5SAoPk0egqh,Lil Uzi Vert,Baby Pluto,80,2020
5H4mXWKcicuLKDn4Jy0sK7,Drake,Time Flies,81,2020
6KfoDhO4XUWSbnyKjNp9c4,Conan Gray,Maniac,83,2020
1E3VQQWFQAPJkXfYHjqWoI,Megan Thee Stallion,Captain Hook,80,2020
4iiWcajF1fEUpwcUewc464,Future,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",80,2020
0oT9ElXYSxvnOOagP9efDq,DaBaby,JUMP (feat. YoungBoy Never Broke Again),79,2020
2hfoyc7ve6xM4ZEiNIiU1B,Joji,Gimme Love,83,2020
7eYAHC0RbBF9eaqWzT34Aq,Drake,Desires (with Future),81,2020
3tDqEKKUs6gf8zMvSuLyLA,Lil Baby,Commercial (feat. Lil Uzi Vert),79,2020
4wNIkl5XGiAACjFBlDWuSd,Jonas Brothers,What A Man Gotta Do,87,2020
4l0Mvzj72xxOpRrp6h8nHi,Selena Gomez,Lose You To Love Me,86,2020
3AzjcOeAmA57TIOr9zF1ZW,Dua Lipa,Physical,88,2020
6FniJZn4agmDtPx1pKZQsa,Morgan Wallen,More Than My Hometown,78,2020
7ge7BHazYbVKi8qyZUX1Bm,Lil Baby,Emotionally Scarred,79,2020
5mTL8ZHcB2LJdlrR78xJYr,Diplo,Heartless (feat. Morgan Wallen),79,2020
4zTPYAf5scZdp0LnwPPeWK,Sleepy Hallow,Deep End Freestyle,82,2020
0oH0OIeKJSAT5bdFkbz20A,Lil Skies,Havin My Way (feat. Lil Durk),80,2020
69vlMrzHwATKzupwNcUPyK,Bad Bunny,La Santa,88,2020
0IpnZchq8ek2A6pGEP2Qb1,Lil Uzi Vert,Bean (Kobe) [feat. Chief Keef],78,2020
4kfeRwpq5KUaqTkgi4TbDF,Future,Solitaires (feat. Travis Scott),78,2020
0Al3wN3keprGTSgG8NBwjr,Carly Pearce,I Hope You’re Happy Now,78,2020
59JWp4PjZ9TRM8cmtaDYB1,Lil Uzi Vert,Yessirskiii,79,2020
5R9k9x85lAYbamdUoKAJvj,Pop Smoke,Dior (with Gunna) - Remix,80,2020
3frUvGrmGcay91lvFbOgsN,Kygo,Like It Is,88,2020
3Q4gttWQ6hxqWOa3tHoTNi,Drake,Not You Too (feat. Chris Brown),80,2020
73SpzrcaHk0RQPFP73vqVR,Billie Eilish,No Time To Die,86,2020
5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,83,2020
7GwYENSg87oERcW0Wacd6m,Gunna,SKYBOX,79,2020
0Li1OuXXfi7950ilZUFGkF,Don Toliver,Cardigan,79,2020
0JjM9bKm4wrwohMslcm892,G-Eazy,Still Be Friends (feat. Tory Lanez & Tyga),84,2020
74D7JUfU6HYeMx4bZhsHnG,Ali Gatie,What If I Told You That I Love You,80,2020
3KixNgUEaDtrKJVzdqjU5q,Drake,Landed,80,2020
021lWIHJrURZrmvYQ1xcM8,Future,All Bad (feat. Lil Uzi Vert),75,2020
2kJu14V7hbZw3I4K8L8SXb,Lady Gaga,Stupid Love,86,2020
2u3EyuCqqV31woqGvO9LBz,Lil Baby,Sum 2 Prove,78,2020
7rTzrRdc5UbvLr0gwI1J3E,Lil Tecca,Out Of Love (feat. Internet Money),80,2020
2IHLaN6wwYKQ3S24NsQqpA,Demi Lovato,I Love Me,82,2020
466cKvZn1j45IpxDdYZqdA,Drake,Toosie Slide,85,2020
740kQ8xwSGloumdiKR5Cwz,Future,Trillionaire (feat. Youngboy Never Broke Again),74,2020
0xKBkLcF71uUQeTA7FSu4A,Russ,BEST ON EARTH (feat. BIA) - Bonus,78,2020
3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Don't Start Now,90,2020
0YkUwXxnTkeJBvt5upeEtP,Drake,From Florida With Love,79,2020
5TCBWmEBrin7etRa4Lswr1,Drake,When To Say When,79,2020
017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Break My Heart,90,2020
75dLEqanQTupF3dtP9exT5,Nicki Minaj,Yikes,79,2020
2iObjOsy2vpsariW4Y7hQg,Bankrol Hayden,Costa Rica,80,2020
2ZlCGeK30BLRNSPC832pNZ,Justin Bieber,Forever (feat. Post Malone & Clever),83,2020
3IvMYBE7A3c7to1aEcfFJk,Drake,Deep Pockets,79,2020
7gVwgc8b3XnO87TpmXXFA5,The Kid LAROI,Diva (feat. Lil Tecca),80,2020
6QeUzTuBoasiii8nevDciq,Future,Trapped In The Sun,72,2020
6cZH4rX1KTt1aJ3Ql6Ynja,A Boogie Wit da Hoodie,Me and My Guitar,77,2020
1aMokXl3uKDvCh4BBcjFOA,YoungBoy Never Broke Again,Lil Top,76,2020
3hzUkQLPGrmfEL61qJJn5n,J Balvin,Bobo,4,2020
1DWZUa5Mzf2BwzpHtgbHPY,Mac Miller,Good News,78,2020
5eU0KDvZVfFl4ehleRwGGF,iann dior,Sick and Tired,79,2020
4QnC1bIaMSfDQvF4XDhV5M,Selena Gomez,Boyfriend,83,2020
3aMUiKCIXJeurR5ppEMJZD,Luke Combs,Six Feet Apart,76,2020
1fPnUpoXCpD2NDI4vPVeLw,Tory Lanez,Stupid Again,79,2020
6PHbWsTTlmQKF9i9VC1KFv,Future,Ridin Strikers,71,2020
1I55Ea0zVoSKs6MqW7DQ3i,Drake,War,80,2020
2ufmtcIFdFpuUYBPXK5f67,Halsey,Graveyard,82,2020
5egD7A5x9AHdVO2fMo3Wbo,Lil Uzi Vert,Silly Watch,76,2020
5v1STk4ZTTDrhgCs6LD3nd,Future,HiTek Tek,71,2020
47EWMOElkkbMp5m9SBkx7d,Alexander 23,IDK You Yet,81,2020
5RsKelNxucrDxgMbZ3vd3W,Bazzi,Young & Alive,81,2020
2ajzBr7vwHTEBeqDzcsNRC,Lil Uzi Vert,That Way - Bonus Track,77,2020
5TI10v8sy9VPp5YhVRVK1f,Chase Rice,Lonely If You Are,76,2020
29s4u1adFGLWtGehbR5xkq,Future,Touch The Sky,70,2020
3cFHCXuBZKMJd8Q4Wt8RB3,Future,Harlem Shake (feat. Young Thug),71,2020
0uDdI4fAXCuNhQbmxENdsO,Kehlani,Can I (feat. Tory Lanez),77,2020
