,song_id,artist_name,track_name,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
33,1ExfPZEiahqhLyajhybFeS,Bruno Mars,The Lazy Song,71,2010,0.738,0.804,11,-3.851,1,0.0621,0.332,0.0,0.279,0.949,174.943,190213,4
34,59dLtGBS26x7kc0rHbaPrq,B.o.B,Nothin' on You (feat. Bruno Mars),72,2010,0.688,0.853,10,-5.814,1,0.0493,0.386,0.0,0.0862,0.743,103.993,268320,4
35,72Fnsr9pkCyXCmY3BS7sbx,Cody Jinks,Hippies and Cowboys,67,2010,0.698,0.586,5,-5.066,1,0.0278,0.0504,0.0,0.295,0.623,115.081,300680,4
36,6XkuklKiHYVTlVvWlTgQYP,Kid Cudi,Erase Me - Main,69,2010,0.688,0.631,9,-5.612,1,0.13,0.063,0.0,0.108,0.854,186.066,192253,4
37,0q6LuUqGLUiCPP1cbdwFs3,Gorillaz,On Melancholy Hill,76,2010,0.689,0.739,2,-5.81,1,0.026,1.51e-05,0.509,0.064,0.578,120.423,233867,4
38,03xWMkKEbeO4SnylA53ipj,Mandy Moore,"When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",71,2010,0.673,0.42,4,-7.581,1,0.0317,0.112,0.0,0.0897,0.385,108.066,152333,4
39,2V4bv1fNWfTcyRJKmej6Sj,Mike Posner,Cooler Than Me - Single Mix,71,2010,0.768,0.82,7,-4.63,0,0.0475,0.179,0.0,0.704,0.625,129.969,213293,4
40,5zGqTc1WQUe8XqqdnrpKTV,Rodney Atkins,Farmer's Daughter,67,2010,0.612,0.791,6,-3.519,1,0.0291,0.224,0.0,0.112,0.786,133.977,207040,4
41,6PmjWl0phNxc0R5OwkDdiZ,Jeremih,Love Don't Change,69,2010,0.539,0.424,11,-9.361,1,0.0406,0.317,0.0,0.108,0.17,118.071,256867,4
42,6klpXs2uAjagnZMFkt4qkl,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",71,2010,0.281,0.139,5,-14.392,1,0.0305,0.829,0.0,0.0725,0.169,92.64,224240,4
43,4ycLiPVzE5KamivXrAzGFG,CeeLo Green,Fuck You,67,2010,0.69,0.834,0,-5.79,1,0.0566,0.129,0.0,0.136,0.738,127.43,222933,4
44,3LUWWox8YYykohBbHUrrxd,Kesha,We R Who We R,71,2010,0.736,0.817,8,-4.9,1,0.0407,0.00987,0.00167,0.117,0.653,119.95,204760,4
45,1kMuU3TNQvHbqvXCWBodmP,Lil Wayne,Right Above It,67,2010,0.376,0.841,3,-4.348,0,0.356,0.0435,0.0,0.578,0.463,76.052,271947,4
46,2MWOqewf5j0qf2b6S5J6cS,Train,Marry Me,72,2010,0.461,0.267,0,-8.514,1,0.0278,0.834,2.03e-05,0.107,0.481,87.918,205453,4
47,3ZdJffjzJWFimSQyxgGIxN,Nelly,Just A Dream - Main,73,2010,0.531,0.752,1,-6.161,1,0.0305,0.0421,0.0,0.12,0.103,89.917,237800,4
48,0grFc6klR3hxoHLcgCYsF4,The Black Keys,Howlin' for You,66,2010,0.705,0.735,11,-6.646,1,0.0931,0.028,0.0783,0.112,0.448,132.627,191800,4
49,2p07VcUwRZ5sru3mJ0JogS,Josh Turner,Why Don't We Just Dance,66,2010,0.677,0.776,5,-5.933,1,0.0386,0.42,0.000689,0.0954,0.642,121.834,192800,4
50,6BaxqcoEM9r3LXisTyJjST,Jason Derulo,Ridin' Solo,65,2010,0.442,0.83,9,-4.02,1,0.146,0.128,0.0,0.129,0.578,89.338,215747,4
51,6vc2Jq2vaGu8z326kSrw92,Kesha,Your Love Is My Drug,69,2010,0.826,0.612,1,-3.891,1,0.0982,0.00681,0.0,0.0889,0.756,120.057,187133,4
52,4UEo1b0wWrtHMC8bVqPiH8,Avenged Sevenfold,Nightmare,71,2010,0.554,0.949,2,-4.928,1,0.0787,0.000318,9.98e-05,0.2,0.233,129.984,374453,4
53,0x3TibRgnSqzkcwrqBd4iX,Jeremih,Down On Me,70,2010,0.7,0.598,2,-7.783,1,0.114,0.0369,0.0,0.111,0.594,160.041,228453,4
54,1ZHYJ2Wwgxes4m8Ba88PeK,Kanye West,Monster,70,2010,0.628,0.692,2,-5.64,1,0.202,0.00244,0.013,0.668,0.0964,124.791,378893,5
55,1bM50INir8voAkVoKuvEUI,Usher,OMG (feat. will.i.am),71,2010,0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,269493,4
56,0u4N6w5lBw5xMrzJitRWUo,Prince Royce,Corazon Sin Cara,70,2010,0.704,0.83,11,-3.139,1,0.0297,0.0489,0.0,0.111,0.957,127.104,211453,4
57,45sDIKapDyxPl307QpEAwl,Far East Movement,Rocketeer,65,2010,0.664,0.845,4,-6.115,0,0.0461,0.181,0.0,0.267,0.357,96.005,211253,4
58,2M9ULmQwTaTGmAdXaXpfz5,Travie McCoy,Billionaire (feat. Bruno Mars),73,2010,0.633,0.673,6,-6.403,0,0.258,0.297,0.0,0.206,0.659,86.776,211160,4
59,2u02eLj96Atd6TBxkH9YvN,Rihanna,S&M,68,2010,0.766,0.682,1,-5.02,1,0.0419,0.0113,0.00016,0.104,0.833,127.966,243533,4
60,0I1eFRytp4XRhLCjT6tZm7,Roar,I Can't Handle Change,68,2010,0.247,0.438,5,-8.479,1,0.0358,0.0455,0.000871,0.111,0.39,185.716,198213,3
61,5BoIP8Eha5hwmRVURkC2Us,Jason Derulo,In My Head,64,2010,0.762,0.748,0,-4.15,0,0.033,0.0266,0.0,0.348,0.851,110.009,199027,4
62,0Hrd6CSafHHqKptyFppmqH,Two Door Cinema Club,Undercover Martyn,65,2010,0.442,0.872,2,-5.072,1,0.123,0.00025,1.74e-05,0.0602,0.568,159.867,167773,4
63,393MDhe62s8hbH8ETrlxe5,Kid Cudi,Mr. Rager,67,2010,0.67,0.726,7,-8.689,1,0.0272,0.39,0.882,0.14,0.581,102.003,294227,4
64,3Q8zopc4ABXhysDb1sgLVW,My Darkest Days,Porn Star Dancing,66,2010,0.474,0.923,2,-3.405,1,0.0897,0.0199,0.0,0.0673,0.347,160.035,199013,4
65,1eUGmzzvahJjOSWgDHuRlv,Miguel,Girl With The Tattoo Enter.lewd,67,2010,0.347,0.239,6,-11.314,0,0.0297,0.856,0.000177,0.168,0.126,113.361,102813,4
66,5W7xC99N2Zzfh69r7I7zWK,Rick Ross,Aston Martin Music,67,2010,0.57,0.58,10,-5.547,0,0.209,0.0125,0.0,0.0497,0.405,171.917,270627,4
67,1CdqVF1ywD0ZO1zXtB9yWa,Taio Cruz,Break Your Heart,66,2010,0.666,0.899,8,-4.676,1,0.028,0.00155,0.0,0.0677,0.629,122.05,186267,4
68,5oHHMDcVOmPSFrCgdbHPdb,Alan Jackson,It's Five O'Clock Somewhere,66,2010,0.713,0.772,2,-6.69,1,0.0372,0.208,0.0,0.211,0.88,125.202,230133,4
69,3avYqdwHKEq8beXbeWCKqJ,Katy Perry,Last Friday Night (T.G.I.F.),66,2010,0.652,0.812,3,-3.797,0,0.0409,0.00125,3.01e-05,0.667,0.72,126.023,230733,4
70,5qP8nQQjOnW8V5LjC3uW1y,Calmsound,Thunder and Rain,68,2010,0.109,0.501,1,-28.708,1,0.13,2.28e-05,0.715,0.493,0.0625,92.535,600000,3
71,3uYm4MtU6jUQft2DtGqEoZ,Mac Miller,Knock Knock,68,2010,0.667,0.922,4,-4.857,0,0.128,0.0353,0.0,0.364,0.509,108.952,202807,4
72,6MDTpYxPFL0wtFd0pjfKws,Plain White T's,Rhythm Of Love,64,2010,0.531,0.542,8,-7.721,1,0.0432,0.356,0.0,0.119,0.726,171.878,200200,4
73,5omWAB5iNMHvbAfBSzkdu8,Sick Puppies,You're Going Down,64,2010,0.488,0.842,6,-5.926,1,0.0469,0.0116,0.00127,0.146,0.41,90.003,187347,4
74,6jAsmDJI8iPhGWtS27kZ67,Rihanna,Only Girl (In The World),67,2010,0.786,0.716,11,-4.253,0,0.0409,0.102,1.72e-05,0.0557,0.595,125.921,235520,4
75,5jzKL4BDMClWqRguW5qZvh,Katy Perry,Teenage Dream,65,2010,0.719,0.798,10,-4.582,1,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,227741,4
76,4a9i7rCLfPjbS1sNamZeQN,Godsmack,Cryin' Like A Bitch!!,66,2010,0.543,0.808,10,-5.484,1,0.0407,7.19e-05,0.00336,0.114,0.472,95.19,201667,4
77,4SE4yewyGpOYfxfx59Yjc5,Eminem,Cinderella Man,70,2010,0.679,0.908,8,-3.411,1,0.202,0.234,0.0,0.0821,0.687,85.918,279013,4
78,0TCt7OFRdD8PQ6vTRQxNgQ,Mandy Moore,"I've Got a Dream - From ""Tangled""/Soundtrack Version",67,2010,0.604,0.541,1,-7.378,0,0.0915,0.639,0.0,0.169,0.892,134.326,191413,4
79,3bMNprrp2JDKZsGbiXpsJl,Ludacris,My Chick Bad,65,2010,0.624,0.723,1,-6.782,1,0.378,0.172,0.0,0.483,0.757,84.789,216933,4
80,0WCiI0ddWiu5F2kSHgfw5S,Kesha,Take It Off,72,2010,0.729,0.675,5,-5.292,0,0.0286,4.14e-05,0.00126,0.0867,0.74,125.036,215200,4
81,0UV5zxRMz6AO4ZwUOZNIKI,Dr. Dog,Where'd All the Time Go?,65,2010,0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,234800,4
82,1UGD3lW3tDmgZfAVDh6w7r,Kanye West,Devil In A New Dress,67,2010,0.433,0.76,8,-4.935,0,0.0726,0.0175,0.0,0.158,0.205,79.789,351947,4
83,7bHT9osSq1rwT2yaImzqCi,Eminem,No Love,70,2010,0.522,0.932,11,-2.87,1,0.255,0.119,0.0,0.177,0.33,129.473,299507,4
84,74tQaH4CxM5Rs9BzerEbHr,Nick Jonas,"Introducing Me - From ""Camp Rock 2: The Final Jam""",69,2010,0.513,0.496,11,-6.049,1,0.0511,0.46,0.0,0.106,0.676,113.072,186893,4
85,45EDI3rk0f4cAMt9f8b56R,Shontelle,Impossible - Main,69,2010,0.599,0.624,8,-3.631,1,0.0343,0.385,0.0,0.125,0.539,90.034,226533,4
86,1rKBOL9kJfX1Y4C3QaOvRH,Big Time Rush,Boyfriend,63,2010,0.614,0.857,1,-4.171,0,0.111,0.0987,0.0,0.177,0.677,164.146,201040,4
87,2Adn2LNgkHMH5TelQVAu4n,Keri Hilson,Pretty Girl Rock,65,2010,0.666,0.87,11,-5.004,0,0.246,0.203,0.0,0.0851,0.9,160.014,243920,4
88,215FCyLSBcXeX0NASXEjyn,Jason Aldean,My Kinda Party,63,2010,0.41,0.9,0,-4.249,0,0.0656,0.0167,1.09e-05,0.339,0.558,176.962,284960,4
89,4BXkf6yww23Vdju7E1fUrn,Brad Paisley,Whiskey Lullaby (feat. Alison Krauss),65,2010,0.587,0.35,2,-10.954,1,0.0318,0.74,0.0,0.156,0.17,74.479,259453,4
90,0kOG4bwpKgRlcJw1NA6csR,Turnpike Troubadours,Long Hot Summer Day,63,2010,0.476,0.652,9,-5.783,1,0.0277,0.0981,0.0,0.0923,0.557,145.356,252480,4
91,6Ozp6ac86CSHMik8lbvJuM,Lee Brice,Love Like Crazy,63,2010,0.535,0.725,10,-5.108,1,0.0275,0.0203,1.45e-05,0.176,0.292,78.489,217387,4
92,0hTiTU0yqthnByyZDD3bcc,Volbeat,A Warrior's Call,63,2010,0.374,0.903,10,-4.49,1,0.0825,0.00075,5.85e-06,0.244,0.429,109.118,263080,3
93,23SZWX2IaDnxmhFsSLvkG2,Kanye West,Gorgeous,67,2010,0.603,0.713,1,-3.625,0,0.0317,0.0207,0.000179,0.431,0.12,91.953,357653,4
94,6XAA7T9VHcqKQSzjmXAJ8o,T.I.,That's All She Wrote (feat. Eminem),68,2010,0.496,0.785,7,-3.472,1,0.306,0.0328,0.0,0.0941,0.357,170.02,318360,4
